h_s1,h_s2,s_a1,log,ty_cr,per_i,per_u,per_s,sys_vol,sys_op,m_rp,q_zx,q_km,m_xi,v_sp,class
0.03844,90,13,NE,6,3.413746,0.251965,0.145593,0.002249,0.013236,0.028738,0.006334,43.625525,0.166689,0.003532,benign
0.479826,68,211,E,3,3.413746,0.38617,0.446156,0.060694,0.03718,0.445686,0.065234,25.067702,0.115056,0.007907,virus
0.964927,96,48,E,8,3.413746,0.110571,0.093865,0.016241,0.046932,0.142005,0.044228,29.849327,0.266286,0.00846,virus
0.54209,80,194,SE,8,3.413746,0.736899,0.258267,0.047482,0.086089,0.231594,0.238904,16.650549,0.036919,0.004405,virus
0.377382,87,176,E,1,3.413746,0.810682,0.623996,0.097926,0.069333,0.290845,0.217555,10.13895,0.025379,0.00612,virus
0.852721,94,115,N,4,5.689577,0.233422,0.373212,0.043568,0.062202,0.703666,0.892486,91.892674,0.165698,0.010092,virus
0.310979,72,30,E,8,5.689577,0.414016,0.162256,0.002318,0.032451,0.03291,0.020751,80.79412,0.100433,0.010764,virus
0.809765,94,63,E,8,3.413746,0.089183,0.098192,0.037061,0.019638,0.276345,0.089078,25.454843,0.292281,0.003112,virus
0.363805,75,28,S,9,3.413746,0.659503,0.449599,0.016526,0.064228,0.104913,0.037757,21.67218,0.050337,0.01145,virus
0.345071,71,153,E,9,5.689577,0.40179,0.50962,0.018182,0.050962,0.307159,0.020575,96.118058,0.103847,0.007156,benign
0.706743,83,192,E,3,6.827492,0.848214,0.69316,1.320906,0.34658,0.797958,4.846187,4.124482,0.018367,0.010277,virus
0.756952,66,120,E,4,6.827492,0.459073,0.338936,0.146788,0.084734,0.584771,0.267406,27.199149,0.086864,0.001002,virus
0.159484,89,206,SW,1,2.275831,0.216442,0.399178,0.005801,0.044353,0.064522,0.008425,25.313221,0.194608,0.00419,virus
0.99306,76,39,W,2,4.551661,0.195266,0.234426,0.060161,0.021311,0.720593,0.10357,54.518578,0.190876,0.004943,virus
0.207891,70,135,N,7,5.689577,0.921148,0.455751,0.084726,0.041432,0.577076,0.545333,38.752035,0.009354,0.021703,virus
0.591804,88,150,NW,6,4.551661,0.185851,0.473301,0.061261,0.118325,0.801768,0.071531,59.570923,0.196651,0.002664,benign
0.036351,91,169,S,1,5.689577,0.833134,0.577865,0.019271,0.096311,0.156785,0.091954,46.288609,0.020792,0.013046,benign
0.477603,91,241,NW,8,1.137915,0.532286,0.076053,0.012683,0.076053,0.660911,0.02147,59.299088,0.087933,0.019146,benign
0.423671,89,95,S,7,3.413746,0.170173,0.573272,0.020606,0.071659,0.330164,0.022078,54.6973,0.214149,0.006462,benign
0.882875,67,46,SE,2,5.689577,0.257177,0.419719,0.073885,0.041972,0.817195,0.139362,62.929017,0.15466,0.011781,benign
0.004275,63,174,E,9,2.275831,0.186843,0.231373,0.029712,0.077124,0.42724,0.056273,32.724597,0.213307,0.02037,benign
0.358916,78,144,N,6,4.551661,0.657461,0.351359,0.131978,0.351359,0.486108,0.140961,16.764886,0.049007,0.010544,benign
0.92924,67,195,E,8,3.413746,0.183945,0.806362,0.030447,0.268787,0.324797,0.158059,36.416579,0.204738,0.013739,benign
0.940488,63,102,SW,6,3.413746,0.545546,0.444965,0.041832,0.111241,0.569415,0.175156,46.467807,0.073276,0.00586,benign
0.137247,62,34,W,3,1.137915,0.724391,0.164147,0.006611,0.032829,0.395097,0.192254,68.006927,0.044962,0.005645,benign
0.032776,82,100,SW,9,2.275831,0.112014,0.116825,0.05291,0.016689,0.89321,0.226449,38.42015,0.278366,0.012057,virus
0.593864,78,209,W,9,2.275831,0.073547,0.249387,0.216257,0.124693,0.235674,0.243546,2.480159,0.331862,0.003871,virus
0.441294,63,223,E,2,5.689577,0.547012,0.809874,0.023976,0.067489,0.07826,0.062041,18.571376,0.068707,0.001399,virus
0.834105,63,9,SW,4,5.689577,0.944309,0.341994,0.031495,0.042749,0.134716,0.081352,24.3367,0.006526,0.020823,virus
0.175996,76,5,W,7,1.137915,0.068684,0.542928,0.012622,0.060325,0.482599,0.016149,43.508532,0.373479,0.016951,virus
0.63561,85,57,E,9,2.275831,0.035056,0.150484,0.002893,0.075242,0.098559,0.010605,77.534634,0.426084,0.001248,virus
0.858326,71,133,SW,8,6.827492,0.387769,0.755004,0.228142,0.107858,0.306887,0.301859,9.184045,0.105697,0.005361,virus
0.28461,67,153,SE,7,6.827492,0.95606,0.64728,0.977762,0.08091,0.122138,5.159518,0.852862,0.005013,0.010838,benign
0.199383,88,8,SW,1,1.137915,0.034722,0.075955,0.003281,0.012659,0.067246,0.003834,23.32149,0.468605,0.01366,virus
0.644463,88,141,NW,2,5.689577,0.217118,1.280273,0.218957,0.213379,0.801236,2.183957,20.820025,0.173944,0.000004,virus
0.197957,91,199,SW,8,4.551661,0.178341,0.157207,0.012127,0.022458,0.160011,0.013699,60.055892,0.201471,0.005446,benign
0.947374,72,6,W,2,3.413746,0.13323,0.331874,0.012105,0.055312,0.121131,0.093601,34.158891,0.243743,0.003562,benign
0.387195,95,90,S,2,3.413746,0.133582,0.402018,0.025231,0.050252,0.085554,0.05565,11.575329,0.243424,0.001793,benign
0.36916,62,225,NE,4,2.275831,0.658787,0.275506,0.026611,0.091835,0.141627,0.091581,12.112417,0.05307,0.010457,benign
0.207397,65,130,NE,7,2.275831,0.089984,0.054712,0.034169,0.004974,0.427788,1.630365,28.492739,0.306213,0.005697,benign
0.910003,77,135,NE,4,6.827492,0.4066,1.067493,0.061318,0.152499,0.271782,0.095528,30.261566,0.100407,0.002569,benign
0.809368,82,114,S,2,5.689577,0.786325,0.770226,0.05641,0.070021,0.266503,0.082226,26.879708,0.027377,0.002958,benign
0.253524,88,159,SE,7,1.137915,0.264784,0.130806,0.002361,0.013081,0.122453,0.030332,59.026426,0.185306,0.002765,benign
0.87573,81,250,E,4,3.413746,0.093735,0.165008,0.052872,0.055003,0.306408,0.198919,19.783434,0.28626,0.002743,benign
0.321806,61,101,NE,8,1.137915,0.646399,0.591196,0.020516,0.118239,0.198241,0.147534,10.995252,0.060847,0.003855,benign
0.3869,67,110,E,6,3.413746,0.158825,0.716131,0.164533,0.089516,0.53725,0.25048,11.146906,0.222494,0.003005,benign
0.922252,68,142,N,9,6.827492,0.751141,1.133909,0.103789,0.226782,0.538606,0.135711,35.430799,0.031928,0.001811,benign
0.479345,60,172,NW,8,6.827492,0.314443,0.391802,0.091963,0.055972,0.111943,0.11836,8.310807,0.129084,0.004362,benign
0.867522,82,43,NW,2,3.413746,0.222811,0.297754,0.038865,0.042536,0.391424,0.053214,34.380957,0.181559,0.023518,benign
0.609159,60,155,S,5,5.689577,0.344073,0.466019,0.028882,0.058252,0.21313,0.036388,41.98576,0.121508,0.001275,benign
0.30977,74,149,N,4,5.689577,0.614004,0.425376,0.270532,0.035448,0.864115,0.916882,18.173256,0.05555,0.019007,benign
0.283334,85,116,NW,7,4.551661,0.603952,0.289185,0.025049,0.072296,0.127411,0.033729,23.151706,0.058927,0.012987,benign
0.041524,89,213,S,7,2.275831,0.11113,0.21692,0.038247,0.21692,0.469952,0.051045,27.963915,0.279374,0.011407,benign
0.088961,63,50,N,3,3.413746,0.27767,0.496904,0.106752,0.041409,0.089604,0.126131,2.865393,0.154942,0.005704,benign
0.009637,93,2,N,4,4.551661,0.274949,0.246251,0.017248,0.123125,0.253473,0.022096,66.89049,0.150884,0.00654,benign
0.732429,61,247,W,9,5.689577,0.822,0.789383,0.032814,0.071762,0.301393,0.046793,52.258317,0.022324,0.004588,benign
0.914268,62,184,NE,4,1.137915,0.051511,0.036916,0.000365,0.004102,0.005107,0.000538,15.902279,0.413602,0.00543,virus
0.315743,81,228,W,7,1.137915,0.414287,0.153469,0.001237,0.038367,0.045811,0.004618,42.136788,0.122882,0.015843,virus
0.421158,66,188,E,5,3.413746,0.4277,0.165113,0.004946,0.01501,0.087484,0.029208,60.382564,0.102705,0.005998,virus
0.851223,94,43,W,1,3.413746,0.140464,0.24222,0.331987,0.026913,0.539072,0.877441,5.543161,0.23735,0.006002,virus
0.38639,61,206,NW,1,7.965407,0.902235,1.048991,0.485634,0.174832,0.684148,2.006699,11.221457,0.011284,0.005151,benign
0.370425,74,233,NW,4,6.713701,0.942743,0.641699,0.065571,0.160425,0.337506,0.885985,34.556645,0.006591,0.016501,virus
0.393449,95,200,W,1,7.737824,0.711936,1.079941,0.27146,0.35998,0.981382,5.58712,27.973756,0.037386,0.018601,virus
0.404737,87,118,NW,4,2.275831,0.357819,0.174018,0.003009,0.01582,0.017081,0.005046,12.918873,0.130684,0.011499,benign
0.0173,93,69,NW,5,10.810196,0.46244,0.314534,0.110213,0.104845,0.548973,0.292573,53.845894,0.081852,0.01884,virus
0.859505,77,109,NW,8,3.413746,0.689355,0.819786,0.258224,0.273262,0.38328,0.520358,5.067008,0.044984,0.002612,benign
0.081261,84,227,NW,6,2.275831,0.484055,0.120855,0.10295,0.120855,0.817309,0.149098,18.067593,0.092261,0.046603,benign
0.331608,74,154,W,3,15.930815,0.853432,0.500785,1.113339,0.250392,0.529615,3.871779,7.578288,0.016156,0.017124,virus
0.63143,89,216,NW,6,16.954939,0.828463,1.054858,0.503664,0.263714,0.556355,1.218275,18.72869,0.019061,0.021935,virus
0.104387,73,42,W,3,17.979062,0.837516,0.481225,0.047879,0.048122,0.140458,0.300808,52.743855,0.017855,0.026084,virus
0.801363,80,110,NW,8,3.413746,0.341603,0.07199,0.000656,0.006545,0.010359,0.00085,53.867601,0.129885,0.056503,benign
0.081638,70,152,NW,8,3.413746,0.870007,0.647897,0.026407,0.080987,0.485175,0.036836,62.720886,0.016839,0.058006,benign
0.801439,77,90,NW,1,21.051434,0.959417,0.667128,0.10278,0.055594,0.126645,0.219683,25.939482,0.004106,0.02983,virus
0.040111,80,245,W,7,22.075558,0.664145,0.451855,0.073416,0.045185,0.18902,1.432519,56.837023,0.040375,0.037491,virus
0.366816,93,64,NW,8,3.413746,0.420385,0.036419,0.013288,0.009105,0.109353,0.02157,28.09397,0.104791,0.061702,benign
0.368936,61,143,NW,8,3.413746,0.663699,0.096979,0.026636,0.008816,0.256854,0.030564,32.919715,0.04957,0.063807,benign
0.973669,66,1,NW,8,25.147929,0.960076,0.622314,0.199472,0.103719,0.269601,0.236146,33.989199,0.003968,0.035044,virus
0.547998,95,18,NW,2,3.413746,0.203777,0.030209,0.016259,0.007552,0.159073,0.03224,33.39797,0.192357,0.035478,virus
0.021824,77,64,NW,7,3.413746,0.206836,0.032779,0.03905,0.010926,0.807999,0.15586,70.634537,0.190555,0.045286,benign
0.096034,66,100,W,8,30.268548,0.746978,0.537823,0.101091,0.134456,0.183831,0.103269,55.042355,0.027911,0.017229,virus
0.094667,88,174,NW,3,31.292672,0.970502,0.545926,1.565667,0.272963,0.293911,5.675908,5.87433,0.002856,0.043201,virus
0.022803,88,10,W,8,32.316796,0.799562,0.439295,0.071013,0.039936,0.175547,0.093966,79.888387,0.021269,0.043501,benign
0.534642,81,104,NW,8,2.275831,0.912129,0.074211,0.001384,0.007421,0.02153,0.00188,35.410727,0.011695,0.073163,benign
0.606907,59,14,NW,1,4.551661,0.19435,0.11876,0.052563,0.013196,0.079156,0.077215,6.854521,0.191425,0.061018,benign
0.668778,80,10,NW,8,35.389167,0.82392,0.496091,0.172757,0.049609,0.225426,0.177534,46.178485,0.018258,0.059115,virus
0.763534,80,62,W,3,36.413291,0.846349,0.462064,0.240003,0.05134,0.144161,1.974823,21.872081,0.015684,0.111454,virus
0.247125,84,204,NW,2,5.689577,0.377339,0.050876,0.010565,0.00424,0.091238,0.01192,49.135907,0.110997,0.09206,benign
0.045407,80,60,NW,9,1.137915,0.111086,0.194132,0.244591,0.02157,0.357344,0.460729,1.662477,0.306433,0.034661,benign
0.650794,60,131,NW,5,39.485662,0.775246,0.60874,0.295379,0.060874,0.327684,7.879857,43.804157,0.023753,0.083581,virus
0.024745,65,149,W,4,40.509786,0.848236,0.488013,0.127604,0.044365,0.202,4.877094,64.127944,0.015321,0.125362,virus
0.830192,92,112,NW,1,1.137915,0.044035,0.02856,0.016481,0.01428,0.354394,0.024609,24.469325,0.43547,0.009897,benign
0.684003,83,155,NW,9,5.689577,0.59759,0.045826,0.008182,0.007638,0.111321,0.062229,77.410236,0.058636,0.04933,benign
0.006882,75,247,NW,2,43.582157,0.841537,0.4735,0.227205,0.052611,0.438585,0.284712,84.128718,0.01595,0.152481,virus
0.114833,82,158,NW,7,45.630405,0.985237,0.720017,0.239544,0.060001,0.40292,0.331034,76.75156,0.001369,0.04855,benign
0.527685,78,183,W,8,46.654529,0.878601,0.48928,0.535444,0.069897,0.268597,3.278842,23.403537,0.011891,0.134373,virus
0.501987,86,5,NW,9,4.551661,0.565,0.044579,0.017494,0.004053,0.080502,0.209038,20.945537,0.066718,0.051615,benign
0.894088,96,15,NW,1,4.551661,0.421465,0.132084,0.001707,0.011007,0.011941,0.002667,31.83994,0.100968,0.161492,benign
0.234661,85,191,W,7,50.751024,0.858258,0.482614,0.563866,0.040218,0.213817,1.015133,19.244676,0.013935,0.166822,virus
0.951635,80,176,NW,9,6.827492,0.845529,0.493855,0.033649,0.082309,0.434422,0.584067,88.145968,0.018721,0.009964,benign
0.514212,69,37,W,2,54.847519,0.863565,0.476581,0.173546,0.095316,0.133631,0.890546,42.232793,0.013279,0.116205,virus
0.519912,64,117,NW,7,5.689577,0.336327,0.030051,0.002174,0.007513,0.029718,0.002616,77.766942,0.124102,0.114269,virus
0.816612,71,37,NW,5,5.689577,0.482885,0.0271,0.013351,0.00271,0.052828,0.036204,22.512099,0.082908,0.172568,benign
0.598909,63,189,NW,2,57.919891,0.856322,0.467965,0.559433,0.233982,0.359006,1.409369,37.16909,0.013973,0.177649,virus
0.796521,83,4,W,7,58.944015,0.93348,0.563652,0.940868,0.11273,0.785185,2.426698,49.190689,0.006191,0.053578,virus
0.612349,71,12,NW,6,59.968138,0.873274,0.565641,0.079056,0.094273,0.11203,0.114711,84.980916,0.012169,0.220958,virus
0.210718,59,234,W,1,60.992262,0.856887,0.456183,0.515306,0.152061,0.207115,2.28307,24.514346,0.013849,0.088115,virus
0.364703,64,73,NW,5,1.137915,0.044351,0.014368,0.005636,0.001796,0.364768,0.017647,73.653649,0.43447,0.197631,virus
0.461915,96,7,NW,3,5.689577,0.29184,0.582606,0.012961,0.097101,0.15611,0.01511,68.531239,0.14026,0.093963,benign
0.561375,88,103,W,3,65.088757,0.897271,0.494146,0.454759,0.044922,0.260341,0.567861,37.262127,0.009663,0.163151,virus
0.053671,68,229,NW,8,3.413746,0.166883,0.017853,0.00018,0.001623,0.002101,0.000218,39.893817,0.21651,0.164004,benign
0.069792,94,176,NW,2,2.275831,0.156873,0.126923,0.035882,0.021154,0.269639,0.036888,17.102091,0.235538,0.020199,benign
0.89713,72,178,NW,4,68.161129,0.891009,0.555532,0.211208,0.277766,0.313242,0.299561,101.089719,0.010245,0.084522,virus
0.213958,76,90,W,8,69.185253,0.943072,0.514043,1.016628,0.073435,0.949658,3.693473,64.627726,0.005197,0.136455,virus
0.089903,88,42,NW,6,5.689577,0.97901,0.048246,0.156444,0.008041,0.694553,1.143857,25.259618,0.002416,0.212128,benign
0.131518,67,12,NW,8,72.257624,0.897541,0.489319,0.197088,0.040777,0.193659,0.490493,71.000425,0.009547,0.10127,benign
0.490941,75,198,W,7,73.281748,0.919704,0.921535,0.534611,0.307178,0.401671,1.768082,55.059112,0.007384,0.190519,virus
0.90403,71,93,NW,6,74.305872,0.872099,0.601977,0.078935,0.050165,0.061753,0.444261,58.131685,0.012057,0.099606,virus
0.196741,82,209,W,3,75.329995,0.988504,0.526211,0.077961,0.047837,0.053413,0.145738,51.610698,0.001017,0.268352,virus
0.861784,78,30,NW,5,6.827492,0.696914,0.042637,0.063581,0.003876,0.989581,0.064071,106.263672,0.040288,0.265392,benign
0.554433,90,158,NW,1,3.413746,0.114867,0.21919,0.04405,0.018266,0.174728,0.115833,13.541008,0.261677,0.159153,benign
0.79797,84,21,W,1,79.426491,0.968397,0.522253,0.712875,0.043521,0.078982,1.228873,8.799948,0.002813,0.11699,virus
0.159463,74,52,NW,1,5.689577,0.398206,0.020083,0.033158,0.002869,0.052789,0.120144,9.057965,0.104867,0.066345,benign
0.327948,87,224,NW,7,4.551661,0.540064,0.01836,0.147418,0.00204,0.218894,0.19526,6.758539,0.071993,0.154099,benign
0.734,92,135,W,9,83.522986,0.915875,0.49332,0.28256,0.070474,0.340838,0.857208,100.749612,0.007663,0.196373,virus
0.442974,60,181,NW,1,4.551661,0.309856,0.016193,0.01312,0.001619,0.013784,0.213483,4.781985,0.136917,0.060824,virus
0.157137,61,28,NW,1,5.689577,0.313,0.023045,0.008314,0.007682,0.056927,0.013511,38.955212,0.132288,0.233519,benign
0.183125,81,88,NW,4,88.643605,0.956504,0.766367,0.234106,0.095796,0.166476,0.343182,63.035656,0.003858,0.066078,virus
0.232101,88,233,NW,5,1.137915,0.030958,0.003018,0.002202,0.000335,0.039516,0.259895,20.418283,0.484604,0.150174,benign
0.279581,87,242,NW,6,4.551661,0.460373,0.116915,0.029177,0.116915,0.143096,0.029565,22.322959,0.090649,0.042143,benign
0.688589,74,166,NW,5,3.413746,0.984491,0.02635,0.031563,0.004392,0.387118,0.058694,41.868673,0.00189,0.117354,benign
0.810493,81,57,NW,6,3.413746,0.145922,0.139657,0.018249,0.023276,0.079893,0.036311,14.945003,0.23274,0.087084,benign
0.05406,86,148,NW,3,96.836595,0.914622,0.614164,1.79902,0.06824,0.96416,1.809838,51.898259,0.007684,0.266942,virus
0.069092,84,57,W,1,97.860719,0.893984,0.478094,0.106359,0.039841,0.088758,0.221917,81.666429,0.00964,0.071054,virus
0.439632,71,95,NW,9,6.713701,0.77618,0.03524,0.005039,0.002937,0.044036,0.099927,58.668835,0.028322,0.200781,benign
0.287781,82,165,NW,9,7.737824,0.678409,0.031527,0.056028,0.005254,0.284676,0.115658,39.315562,0.042694,0.229616,benign
0.766644,69,41,NW,2,100.933091,0.950067,0.502542,0.225535,0.167514,0.251709,1.24774,112.646898,0.004394,0.37204,virus
0.805936,82,124,W,8,101.957214,0.904213,0.960613,0.214921,0.096061,0.248144,0.565714,117.717923,0.008631,0.050063,virus
0.148266,73,103,NW,7,102.981338,0.954068,0.592828,2.051654,0.148207,0.804193,3.769403,40.365916,0.004027,0.132849,virus
0.552112,81,86,W,2,104.005462,0.911954,0.48859,0.229629,0.122148,0.196683,0.456338,89.083178,0.007887,0.119802,virus
0.475457,60,243,NW,2,12.858443,0.707956,0.053148,0.083863,0.026574,0.79918,0.171226,122.535807,0.035992,0.098605,benign
0.802724,64,120,NW,8,13.882567,0.529428,0.038352,0.028142,0.004794,0.092989,0.03431,45.871809,0.065749,0.03949,benign
0.777757,92,235,W,5,108.101957,0.995992,0.531555,0.077778,0.048323,0.073753,0.091044,102.507358,0.000343,0.315071,virus
0.995999,72,63,NW,2,16.954939,0.929928,0.085625,0.235459,0.012232,0.16952,0.260881,12.206808,0.007359,0.128659,benign
0.831498,69,204,NW,1,17.979062,0.98893,0.113201,0.03155,0.056601,0.170489,0.448481,97.155672,0.001121,0.227032,virus
0.740815,81,236,W,7,112.198452,0.996869,0.528453,0.697027,0.176151,0.698916,0.925778,112.502387,0.000267,0.349858,virus
0.500402,75,152,NW,7,21.051434,0.713972,0.078409,1.762366,0.011201,0.572415,5.808812,6.837493,0.033394,0.261011,benign
0.389504,82,11,NW,4,22.075558,0.835074,0.088833,0.092504,0.007403,0.460255,0.110414,109.837258,0.017781,0.371312,benign
0.565868,91,41,NW,7,115.270824,0.917754,0.490177,0.587995,0.098035,0.640248,1.821694,125.514611,0.00728,0.1953,virus
0.145948,78,178,W,9,118.343195,0.943718,0.499983,0.106961,0.071426,0.091121,0.136475,100.818371,0.004903,0.435112,virus
0.673159,83,47,NW,2,27.196177,0.744774,0.089474,0.270446,0.029825,0.452943,0.446981,45.548218,0.028485,0.119885,benign
0.988284,66,151,NW,9,28.2203,0.929999,0.121853,0.02511,0.013539,0.065529,0.073704,73.644445,0.00699,0.317925,benign
0.183387,82,154,NW,6,31.292672,0.719052,0.095955,0.006956,0.023989,0.027675,0.009326,124.496455,0.031456,0.137082,benign
0.047105,94,150,NW,7,32.316796,0.817033,0.144745,0.444028,0.020678,0.379075,0.547725,27.589468,0.019213,0.285014,benign
0.429357,62,15,W,6,126.536186,0.980008,0.52167,1.176763,0.17389,0.274929,4.075367,29.562912,0.001699,0.445646,virus
0.227575,60,242,NW,4,35.389167,0.816283,0.124678,2.093842,0.062339,0.518352,2.227111,8.76095,0.019135,0.072845,benign
0.618739,86,93,NW,7,36.413291,0.828894,0.125832,0.974809,0.125832,0.452798,2.138879,16.913921,0.017643,0.308604,benign
0.703644,62,168,NW,6,129.608557,0.968887,0.513308,0.129764,0.07333,0.075876,1.175984,75.784546,0.002655,0.293893,virus
0.187638,61,133,W,8,132.680928,0.92381,0.486891,0.353958,0.069556,0.16962,0.508038,63.581838,0.006643,0.055195,virus
0.377698,71,48,NW,7,41.53391,0.911493,0.152908,0.361656,0.015291,0.74422,0.639777,85.46892,0.008606,0.199365,benign
0.817576,80,14,NW,3,42.558034,0.970693,0.192276,0.016133,0.048069,0.053233,0.041907,140.421483,0.002756,0.179916,benign
0.368288,91,193,W,6,136.777424,0.932947,0.49141,1.980073,0.098282,0.798008,2.001279,55.123943,0.005803,0.158348,virus
0.413312,90,194,NW,1,45.630405,0.959586,0.168314,0.262218,0.056105,0.471817,0.280904,82.104266,0.003798,0.352084,benign
0.57352,83,17,NW,4,46.654529,0.796739,0.159524,0.409639,0.031905,0.844007,8.03324,96.125444,0.020876,0.344733,benign
0.372977,82,197,NW,9,139.849795,0.96819,0.525239,0.371653,0.05836,0.30206,2.391249,113.662697,0.002698,0.507908,virus
0.752101,68,92,W,5,140.873919,0.980907,0.516877,1.547047,0.103375,0.179281,2.516867,16.325326,0.001608,0.343179,virus
0.604304,82,179,NW,7,49.7269,0.80557,0.153549,0.155155,0.038387,0.361345,0.276774,115.810606,0.019748,0.490829,virus
0.935384,96,126,NW,2,50.751024,0.911548,0.176125,0.303429,0.176125,0.802818,0.842443,134.278052,0.008443,0.488185,benign
0.093704,59,147,NW,2,143.94629,0.97361,0.51692,0.528488,0.057436,0.438266,2.246174,119.372379,0.002227,0.033777,virus
0.16226,71,95,NW,6,145.994538,0.943734,0.4973,0.355402,0.041442,0.337186,0.370157,138.511454,0.004816,0.136907,virus
0.531463,73,125,NW,4,55.871643,0.828815,0.169694,0.236299,0.169694,0.414953,0.465045,98.113169,0.016969,0.551051,benign
0.050306,72,188,NW,8,56.895767,0.991987,0.202163,0.035759,0.02527,0.077274,0.148878,122.950272,0.000726,0.019233,benign
0.601717,71,98,NW,5,150.091033,0.94233,0.514542,0.502792,0.057171,0.449023,0.737408,134.040415,0.004928,0.084688,virus
0.687744,76,227,NW,7,60.992262,0.967779,0.221601,0.866356,0.0554,0.337414,4.147359,23.754239,0.002937,0.519523,benign
0.637329,68,21,NW,9,154.187528,0.976517,0.519879,1.701829,0.259939,0.697482,5.544961,63.192652,0.001967,0.091947,virus
0.905037,70,31,W,3,155.211652,0.928151,0.488299,0.473664,0.24415,0.310874,0.477777,101.868127,0.006169,0.060543,virus
0.661809,62,23,NW,4,64.064634,0.87817,0.190729,0.051632,0.015894,0.061724,0.124413,76.586894,0.011598,0.392925,benign
0.930644,88,18,NW,3,65.088757,0.95259,0.211268,0.063922,0.052817,0.146914,0.534776,149.594959,0.00433,0.427709,benign
0.359573,96,34,NW,1,158.284024,0.95401,0.504605,0.337411,0.045873,0.049395,0.648685,23.171801,0.003889,0.424065,virus
0.34823,89,34,W,8,159.308147,0.983422,0.531855,0.323961,0.132964,0.296152,0.353818,145.632904,0.00138,0.423208,virus
0.08678,81,92,NW,9,160.332271,0.960081,0.503361,0.558663,0.12584,0.266957,3.300259,76.614708,0.003361,0.015519,benign
0.091313,77,248,W,2,161.356395,0.937375,0.495646,0.076314,0.045059,0.04972,0.167713,105.127009,0.005334,0.481164,virus
0.755089,70,217,NW,2,70.209376,0.895913,0.20825,0.445585,0.023139,0.261046,1.768389,41.132075,0.009732,0.385427,benign
0.677326,83,15,NW,7,71.2335,0.916941,0.213437,0.747518,0.053359,0.712247,0.806227,67.872422,0.007668,0.404248,benign
0.940189,95,191,NW,9,75.329995,0.970296,0.239958,0.232523,0.03428,0.15783,1.81916,51.131847,0.002654,0.598571,benign
0.591376,82,129,NW,7,168.525262,0.960375,0.506884,0.175471,0.072412,0.093998,0.475851,90.276826,0.003322,0.279194,virus
0.897632,59,41,W,5,169.549385,0.963409,0.508003,0.495278,0.169334,0.441258,0.688462,151.056435,0.003062,0.403005,virus
0.006951,92,77,NW,2,79.426491,0.97202,0.238758,0.460856,0.079586,0.682991,0.621342,117.710337,0.002486,0.628528,benign
0.584501,63,98,NW,5,172.621757,0.976414,0.516169,1.266236,0.172056,0.757201,1.782908,103.226728,0.001958,0.134041,virus
0.711816,74,124,NW,9,174.670005,0.9329,0.495688,0.378808,0.045063,0.096994,1.32551,44.724388,0.005691,0.178592,virus
0.425523,84,75,W,1,175.694128,0.976935,0.513188,0.097438,0.042766,0.04694,4.673284,84.638949,0.001911,0.461591,virus
0.751639,80,101,NW,3,84.54711,0.945633,0.240649,0.224761,0.120324,0.331392,0.459093,124.658222,0.00487,0.276841,benign
